All Dependencies for Puppet
Package Title,Version,Authors,Description,Declared License,Discovered License(s),Package Manager,Package Homepage,
"Jetty :: JMX Management",9.4.18.v20190429,"","JMX management artifact for jetty.","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"Bouncy Castle PKIX, CMS, EAC, TSP, PKCS, OCSP, CMP, and CRMF APIs",1.60,"","The Bouncy Castle Java APIs for CMS, PKCS, EAC, TSP, CMP, CRMF, OCSP, and certificate generation. This jar contains APIs for JDK 1.5 to JDK 1.8. The APIs can be used in conjunction with a JCE/JCA provider such as the one provided with the Bouncy Castle Cryptography APIs.","Bouncy Castle Licence","public-domain",Maven,"http://www.bouncycastle.org/java.html",
"Jetty :: IO Utility",9.4.18.v20190429,"","null","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"tools.reader",1.2.1,"","A Clojure reader in Clojure","Multi-license: EPL-1.0 OR PHP-3.01","PHP-3.01",Maven,"https://github.com/clojure/tools.reader",
"tools.analyzer",0.6.9,"","An analyzer for Clojure code, written in Clojure and producing AST in EDN","EPL-1.0","PHP-3.0",Maven,"",
"Jetty :: Security",9.4.18.v20190429,"","Jetty security infrastructure","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"Apache Commons Compress",1.17,"Wolfgang Glas, Christian Kohlschütte, Bear Giles, Michael Kuss, Lasse Collin, John Kodis, BELUGA BEHR, Simon Spero, Michael Hausegger, Torsten Curdt, Stefan Bodewig, Sebastian Bazley, Christian Grobmeier, Julius Davies, Damjan Jovanovic, Emmanuel Bourg, Gary Gregory, Rob Tompkins","
Apache Commons Compress software defines an API for working with
compression and archive formats.  These include: bzip2, gzip, pack200,
lzma, xz, Snappy, traditional Unix Compress, DEFLATE and ar, cpio,
jar, tar, zip, dump, 7z, arj.
  ","Apache-2.0","Multi-license: BSD-3-Clause OR Apache-2.0",Maven,"http://commons.apache.org/proper/commons-compress/",
"config",1.2.0,"","config","Apache-2.0","JSON",Maven,"https://github.com/typesafehub/config",
"Logback Core Module",1.2.3,"","logback-core module","Multi-license: EPL-1.0 OR LGPL-2.1-only","Multi-license: EPL-1.0 OR LGPL-2.1-only",Maven,"",
"Apache HttpCore",4.4.5,"","
   Apache HttpComponents Core (blocking I/O)
  ","Apache-2.0","CC-BY-3.0; CPL-1.0",Maven,"http://hc.apache.org/httpcomponents-core-ga",
"data.priority-map",0.0.9,"","null","EPL-1.0","",Maven,"",
"java.classpath",0.2.3,"","null","EPL-1.0","",Maven,"",
"Jetty :: Servlet Handling",9.4.18.v20190429,"","Jetty Servlet Container","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"Jetty :: Websocket :: API",9.4.18.v20190429,"","null","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"https://www.eclipse.org/jetty",
"Jetty :: Utilities",9.4.18.v20190429,"","Utility classes for Jetty","Multi-license: EPL-1.0 OR Apache-2.0","Multi-license: MIT OR EPL-1.0 OR Apache-2.0; Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"Jetty :: Webapp Application Support",9.4.18.v20190429,"","Jetty web application support","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"ASM All",5.0.3,"","null","Apache-2.0; BSD-3-Clause","",Maven,"",
"Jetty :: Server Core",9.4.18.v20190429,"","The core jetty server artifact.","Multi-license: Apache-2.0 OR EPL-1.0","Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"Bouncy Castle Provider",1.60,"","The Bouncy Castle Crypto package is a Java implementation of cryptographic algorithms. This jar contains JCE provider and lightweight API for the Bouncy Castle Cryptography APIs for JDK 1.5 to JDK 1.8.","Bouncy Castle Licence","public-domain; MIT",Maven,"http://www.bouncycastle.org/java.html",
"SnakeYAML",1.23,"Andrey Somov, Alexander Maslov, Jordan Angold","YAML 1.1 parser and emitter for Java","Apache-2.0","Multi-license: GPL-2.0-or-later OR GPL-3.0-only OR LGPL-2.1-or-later OR Apache-2.0 OR EPL-1.0 OR BSD-3-Clause",Maven,"http://www.snakeyaml.org",
"Jetty :: Websocket :: Client",9.4.18.v20190429,"","null","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"https://github.com/eclipse/jetty.project.git/websocket-parent/websocket-client",
"tools.analyzer.jvm",0.7.2,"","Additional jvm-specific passes for tools.analyzer","EPL-1.0","PHP-3.01",Maven,"",
"tools.macro",0.1.5,"Stuart Halloway, Konrad Hinsen","null","EPL-1.0","",Maven,"",
"Commons IO",2.4,"Rahul Akolkar, Jason Anderson, Nathan Beyer, Emmanuel Bourg, Chris Eldredge, Magnus Grimsell, Jim Harrington, Thomas Ledoux, Andy Lehane, Marcelo Liberato, Alban Peignier, Ian Springer, Dominik Stadler, Masato Tezuka, James Urie, Frank W. Zammetti, Scott Sanders, dIon Gillard, Nicola Ken Barozzi, Henri Yandell","
The Commons IO library contains utility classes, stream implementations, file filters, 
file comparators, endian transformation classes, and much more.
  ","Apache-2.0","",Maven,"http://commons.apache.org/io/",
"Logback Classic Module",1.2.3,"","logback-classic module","Multi-license: EPL-1.0 OR LGPL-2.1-only","Multi-license: EPL-1.0 OR LGPL-2.1-only",Maven,"",
"Jetty :: Proxy",9.4.18.v20190429,"","Jetty Proxy","Multi-license: Apache-2.0 OR EPL-1.0","Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"Log4j Implemented Over SLF4J",1.7.20,"","Log4j implemented over SLF4J","Apache-2.0","MIT",Maven,"http://www.slf4j.org",
"core.specs.alpha",0.2.44,"","Specs for clojure.core","Multi-license: PHP-3.01 OR EPL-1.0","PHP-3.01",Maven,"",
"spec.alpha",0.2.176,"","Specification of data and functions","Multi-license: PHP-3.01 OR EPL-1.0","PHP-3.01",Maven,"",
"Jetty :: Continuation",9.4.18.v20190429,"","Asynchronous API","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"tools.cli",0.3.6,"Gareth Jones, Sung Pae, Sean Corfield","null","EPL-1.0","",Maven,"",
"core.async",0.4.490,"","Facilities for async programming and communication in Clojure","EPL-1.0","PHP-3.01",Maven,"https://github.com/clojure/core.async",
"Apache Commons Codec",1.10,"Christopher O&#39;Brien, Martin Redington, Jeffery Dever, Steve Zimmermann, Benjamin Walstrum, Oleg Kalnichevski, Dave Dribin, Alex Karasulu, Matthew Inger, Jochen Wiedmann, Sebastian Bazley, Matthew Pocock, Colm Rice, Henri Yandell, Tim OBrien, Scott Sanders, Rodney Waldhoff, Daniel Rall, Jon S. Stevens, Gary Gregory","
     The Apache Commons Codec package contains simple encoder and decoders for
     various formats such as Base64 and Hexadecimal.  In addition to these
     widely used encoders and decoders, the codec package also maintains a
     collection of phonetic encoding utilities.
  ","Apache-2.0","",Maven,"http://commons.apache.org/proper/commons-codec/",
"Jackson dataformat: CBOR",2.9.0,"","Support for reading and writing Concise Binary Object Representation
([CBOR](https://www.rfc-editor.org/info/rfc7049)
encoded data using Jackson abstractions (streaming API, data binding, tree model)","Apache-2.0","",Maven,"http://github.com/FasterXML/jackson-dataformats-binary",
"Apache Commons Logging",1.2,"Matthew P. Del Buono, Vince Eagen, Peter Lawrey, Berin Loritsch, Philippe Mouawad, Neeme Praks, Juozas Baliuka, Morgan Delagrange, Peter Donald, Robert Burrell Donkin, Simon Kitching, Dennis Lundberg, Costin Manolache, Craig McClanahan, Thomas Neidhart, Scott Sanders, Richard Sitze, Brian Stansberry, Rodney Waldhoff","Apache Commons Logging is a thin adapter allowing configurable bridging to other,
    well known logging systems.","Apache-2.0","",Maven,"http://commons.apache.org/proper/commons-logging/",
"Jackson-dataformat-Smile",2.9.0,"","Support for reading and writing Smile (""binary JSON"")
encoded data using Jackson abstractions (streaming API, data binding,
tree model)","Apache-2.0","",Maven,"http://github.com/FasterXML/jackson-dataformat-smile",
"ini4j",0.5.2,"","Java API for handling configuration files in Windows .ini format. The library includes its own Map based API, Java Preferences API and Java Beans API for handling .ini files. Additionally, the library includes a feature rich (variable/macro substitution, multiply property values, etc) java.util.Properties replacement.","Apache-2.0","",Maven,"http://www.ini4j.org",
"Apache HttpCore NIO",4.4.10,"","Apache HttpComponents Core (non-blocking I/O)","Apache-2.0","",Maven,"http://hc.apache.org/httpcomponents-core-ga",
"core.cache",0.7.1,"","A cache library for Clojure","Multi-license: EPL-1.0 OR PHP-3.0","",Maven,"",
"JUL to SLF4J bridge",1.7.20,"","JUL to SLF4J bridge","MIT","",Maven,"http://www.slf4j.org",
"Jetty :: Websocket :: Server",9.4.18.v20190429,"","null","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"https://www.eclipse.org/jetty",
"Jackson-core",2.10.0,"","Core Jackson abstractions, basic JSON streaming API implementation","Apache-2.0","",Maven,"https://github.com/FasterXML/jackson-core",
"Jetty :: Utility Servlets and Filters",9.4.18.v20190429,"","Utility Servlets from Jetty","Multi-license: EPL-1.0 OR Apache-2.0","Apache-2.0",Maven,"http://www.eclipse.org/jetty",
"trapperkeeper",3.0.0,"","A framework for configuring, composing, and running Clojure services.","Apache-2.0","",Maven,"https://nexus.pentaho.org/content/groups/omni/puppetlabs/trapperkeeper",
"fs",1.5.1,"","File system utilities for clojure","EPL-1.0","",Maven,"https://github.com/clj-commons/fs",
"clj-time",0.11.0,"","A date and time library for Clojure, wrapping Joda Time.","MIT","",Maven,"https://github.com/clj-time/clj-time",
"schema",1.1.9,"","Clojure(Script) library for declarative data description and validation","EPL-1.0","",Maven,"http://github.com/plumatic/schema",
"typesafe-config",0.1.5,"","Thin Clojure wrapper around Typesafe Config library","Apache-2.0","",Maven,"https://nexus.pentaho.org/content/groups/omni/puppetlabs/typesafe-config",
"kitchensink",3.0.0,"","Clojure utility functions","Apache-2.0","",Maven,"https://nexus.pentaho.org/content/groups/omni/puppetlabs/kitchensink",
"digest",1.4.3,"","Digest algorithms (MD5, SHA ...) for Clojure","","",Maven,"https://github.com/tebeka/clj-digest",
"i18n",0.8.0,"","Clojure i18n library","Apache-2.0","",Maven,"http://github.com/puppetlabs/clj-i18n",
"beckon",0.1.1,"","Handle POSIX signals in Clojure with style and grace.","EPL-1.0","",Maven,"https://github.com/hyPiRion/beckon",
"crypto-random",1.2.0,"","Library for generating secure random bytes and strings","EPL-1.0","",Maven,"https://github.com/weavejester/crypto-random",
"lazymap",3.1.0,"","A lazy map implementation for Clojure","MIT","",Maven,"http://bitbucket.org/kotarak/lazymap",
"cpath-clj",0.1.2,"","Classpath Utilities for Clojure","EPL-1.0","",Maven,"https://github.com/xsc/cpath-clj",
"slingshot",0.12.2,"","Enhanced throw, try, leveraging Clojure's capabilities","EPL-1.0","",Maven,"",
"useful",0.11.6,"","A collection of generally-useful Clojure utility functions","EPL-1.0","",Maven,"https://github.com/flatland/useful",
"http-client",1.1.2,"","HTTP client wrapper","Apache-2.0","",Maven,"https://nexus.pentaho.org/content/groups/omni/puppetlabs/http-client",
"plumbing",0.4.2,"","Prismatic's Clojure utility belt.","EPL-1.0","",Maven,"https://github.com/plumatic/plumbing",
"crypto-equality",1.0.0,"","Securely check equality of strings or byte sequences","EPL-1.0","",Maven,"https://github.com/weavejester/crypto-equality",
"ssl-utils",3.0.4,"","SSL certificate management on the JVM.","public-domain","",Maven,"http://www.github.com/puppetlabs/jvm-ssl-utils",
"nrepl",0.6.0,"","nREPL is a Clojure *n*etwork REPL.","EPL-1.0","",Maven,"https://nrepl.org",
"ring-servlet",1.5.0,"","Ring servlet utilities.","MIT","",Maven,"https://github.com/ring-clojure/ring",
"ordered",1.5.7,"","Pure-clojure implementation of ruby's ordered hash and set types - instead of sorting by key, these collections retain insertion order.","EPL-1.0","",Maven,"https://github.com/amalloy/ordered",
"cheshire",5.8.0,"","JSON and JSON SMILE encoding, fast.","MIT","",Maven,"https://github.com/dakrone/cheshire",
"ring-middleware",1.0.1,"","","","",Maven,"https://nexus.pentaho.org/content/groups/omni/puppetlabs/ring-middleware",
"trapperkeeper-webserver-jetty9",4.0.2,"","A jetty9-based webserver implementation for use with the puppetlabs/trapperkeeper service framework.","Apache-2.0","",Maven,"https://github.com/puppetlabs/trapperkeeper-webserver-jetty9",
"clj-yaml",0.7.0,"","YAML encoding and decoding for Clojure using SnakeYAML","EPL-1.0","",Maven,"https://github.com/clj-commons/clj-yaml",
"clojure-complete",0.2.5,"","Standalone completion library adapted from swank-clojure","EPL-1.0","",Maven,"",
"trapperkeeper-filesystem-watcher",1.2.1,"","Trapperkeeper filesystem watcher service","Apache-2.0","",Maven,"https://github.com/puppetlabs/trapperkeeper-filesystem-watcher",
"ring-codec",1.0.0,"","Library for encoding and decoding data","MIT","",Maven,"https://github.com/ring-clojure/ring-codec",
"tigris",0.1.1,"","Stream-to-stream JSON string encoding","EPL-1.0","",Maven,"https://github.com/dakrone/tigris",
"ring-core",1.4.0,"","Ring core libraries.","MIT","",Maven,"https://github.com/ring-clojure/ring",
"tools.logging",0.2.6,"","null","EPL-1.0","PHP-3.0",Maven,"",
"tools.cli",0.3.3,"Gareth Jones, Sung Pae, Sean Corfield","null","EPL-1.0","",Maven,"",
"Apache Commons Compress",1.8,"Wolfgang Glas, Christian Kohlschütte, Bear Giles, Michael Kuss, Lasse Collin, John Kodis, BELUGA BEHR, Simon Spero, Michael Hausegger, Torsten Curdt, Stefan Bodewig, Sebastian Bazley, Christian Grobmeier, Julius Davies, Damjan Jovanovic, Emmanuel Bourg, Gary Gregory, Rob Tompkins","
Apache Commons Compress software defines an API for working with
compression and archive formats.  These include: bzip2, gzip, pack200,
lzma, xz, Snappy, traditional Unix Compress, DEFLATE and ar, cpio,
jar, tar, zip, dump, 7z, arj.
  ","Apache-2.0","Public-Domain; BSD-3-Clause",Maven,"http://commons.apache.org/proper/commons-compress/",
"XZ for Java",1.5,"","XZ data compression","Public-Domain","",Maven,"http://tukaani.org/xz/java.html",
"Jackson-core",2.7.3,"","Core Jackson abstractions, basic JSON streaming API implementation","Apache-2.0","",Maven,"https://github.com/FasterXML/jackson-core",
"java.classpath",0.2.2,"","null","EPL-1.0","",Maven,"",
"dynapath",0.2.3,"","An abstraction for modifiable/readable class loaders.","EPL-1.0","",Maven,"https://github.com/tobias/dynapath",
"Jackson dataformat: CBOR",2.7.3,"","Support for reading and writing Concise Binary Object Representation
([CBOR](https://www.rfc-editor.org/info/rfc7049)
encoded data using Jackson abstractions (streaming API, data binding, tree model)","Apache-2.0","",Maven,"http://github.com/FasterXML/jackson-dataformats-binary",
"Jackson-dataformat-Smile",2.7.3,"","Support for reading and writing Smile (""binary JSON"")
encoded data using Jackson abstractions (streaming API, data binding,
tree model)","","",Maven,"http://github.com/FasterXML/jackson-dataformat-smile",
"fs",1.4.6,"","File system utilities for clojure","EPL-1.0","",Maven,"https://github.com/Raynes/fs",
"kitchensink",2.1.0,"","Clojure utility functions","Apache-2.0","",Maven,"https://nexus.pentaho.org/content/groups/omni/puppetlabs/kitchensink",
"cheshire",5.6.1,"","JSON and JSON SMILE encoding, fast.","MIT","",Maven,"https://github.com/dakrone/cheshire",
"method_source",1.0.0,"John Mair (banisterfiend)","retrieve the sourcecode for a method","MIT","",RubyGem,"http://banisterfiend.wordpress.com",
"pry",0.13.1,"John Mair (banisterfiend), Conrad Irwin, Ryan Fitzgerald","An IRB alternative and runtime developer console","MIT","",RubyGem,"http://pryrepl.org",
"concurrent-ruby",1.1.6,"Jerry D&#39;Antonio, Petr Chalupa, The Ruby Concurrency Team","Modern concurrency tools including agents, futures, promises, thread pools, actors, supervisors, and more.
Inspired by Erlang, Clojure, Go, JavaScript, actors, and classic concurrency patterns.
","","public-domain; MIT",RubyGem,"http://www.concurrent-ruby.com",
"facter",2.5.7,"Puppet","You can prove anything with facts!","Apache-2.0","MIT; Multi-license: Ruby OR GPL-2.0-or-later",RubyGem,"https://github.com/puppetlabs/facter",
"rdiscount",2.2.0.1,"Ryan Tomayko, David Loren Parsons, Andrew White, David Foster","Fast Implementation of Gruber's Markdown in C","BSD-3-Clause","",RubyGem,"http://dafoster.net/projects/rdiscount/",
"msgpack",1.3.3,"Sadayuki Furuhashi, Theo Hultberg, Satoshi Tagomori","MessagePack is a binary-based efficient object serialization library. It enables to exchange structured objects between many languages like JSON. But unlike JSON, it is very fast and small.","Apache-2.0","",RubyGem,"http://msgpack.org/",
"vcr",5.1.0,"Myron Marston, Kurtis Rainbolt-Greene, Olle Jonsson","Record your test suite's HTTP interactions and replay them during future test runs for fast, deterministic, accurate tests.","","",RubyGem,"http://vcr.github.io/vcr",
"crack",0.4.3,"John Nunemaker","Really simple JSON and XML parsing, ripped from Merb and Rails.","MIT","",RubyGem,"http://github.com/jnunemaker/crack",
"ronn",0.7.3,"Ryan Tomayko","Builds manuals","MIT","",RubyGem,"http://rtomayko.github.com/ronn",
"rdoc",6.2.1,"Eric Hodel, Dave Thomas, Phil Hagelberg, Tony Strauss, Zachary Scott, Hiroshi SHIBATA, ITOYANAGI Sakura","RDoc produces HTML and command-line documentation for Ruby projects.  RDoc
includes the +rdoc+ and +ri+ tools for generating and displaying documentation
from the command-line.","Ruby","Multi-license: OFL-1.1 OR MIT; OFL-1.1; MIT; Multi-license: Ruby OR GPL-2.0-only; Multi-license: Ruby OR GPL-3.0-only; BSD-2-Clause",RubyGem,"http://docs.seattlerb.org/rdoc",
"puppetserver-ca",1.7.0,"Puppet, Inc.","null","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/puppetserver-ca-cli/",
"hpricot",0.8.6,"why the lucky stiff","a swift, liberal HTML parser with a fantastic library","","Ruby; GPL-2.0-only; MIT; Apache-2.0",RubyGem,"http://code.whytheluckystiff.net/hpricot/",
"mustache",1.1.1,"Chris Wanstrath, Magnus Holm, Pieter van de Bruggen, Ricardo Mendes","Inspired by ctemplate, Mustache is a framework-agnostic way to render
logic-free views.

As ctemplates says, ""It emphasizes separating logic from presentation:
it is impossible to embed application logic in this template
language.

Think of Mustache as a replacement for your views. Instead of views
consisting of ERB or HAML with random helpers and arbitrary logic,
your views are broken into two parts: a Ruby class and an HTML
template.
","MIT","",RubyGem,"https://github.com/mustache/mustache",
"hashdiff",1.0.1,"Liu Fengyun"," HashDiff is a diff lib to compute the smallest difference between two hashes. ","MIT","",RubyGem,"https://github.com/liufengyun/hashdiff",
"safe_yaml",1.0.5,"Dan Tao","Parse YAML safely","MIT","",RubyGem,"https://github.com/dtao/safe_yaml",
"webmock",3.8.3,"Bartosz Blimke","WebMock allows stubbing HTTP requests and setting expectations on HTTP requests.","MIT","",RubyGem,"http://github.com/bblimke/webmock",
"artifactory",2.8.2,"Chef Release Engineering Team","A Ruby client for Artifactory","Apache-2.0","Multi-license: LGPL-3.0-only OR Apache-2.0",RubyGem,"https://github.com/opscode/artifactory-client",
"rspec-core",2.14.8,"Steven Baker, David Chelimsky, Chad Humphries, Myron Marston","BDD for Ruby. RSpec runner and example groups.","MIT","",RubyGem,"https://github.com/rspec/rspec-core",
"rspec-mocks",2.14.6,"Steven Baker, David Chelimsky, Myron Marston","RSpec's 'test double' framework, with support for stubbing and mocking","MIT","",RubyGem,"https://github.com/rspec/rspec-mocks",
"parser",2.7.1.1,"whitequark","A Ruby parser written in pure Ruby.","MIT","",RubyGem,"https://github.com/whitequark/parser",
"rspec-expectations",2.14.5,"Steven Baker, David Chelimsky, Myron Marston","rspec-expectations provides a simple, readable API to express expected outcomes of a code example.","MIT","",RubyGem,"https://github.com/rspec/rspec-expectations",
"rspec",2.14.1,"Steven Baker, David Chelimsky, Myron Marston","BDD for Ruby","MIT","",RubyGem,"http://github.com/rspec",
"java.jdbc",0.7.7,"Stephen C. Gilardi, Sean Corfield","null","EPL-1.0","",Maven,"",
"quartz",2.3.1,"","Enterprise Job Scheduler","Apache-2.0","",Maven,"",
"PostgreSQL JDBC Driver - JDBC 4.1",42.2.8,"","Java JDBC 4.1 (JRE 7+) driver for PostgreSQL database","Multi-license: BSD-2-Clause OR BSD-3-Clause","public-domain; BSD-3-Clause; Apache-2.0; unknown",Maven,"",
"core.match",0.3.0-alpha4,"David Nolen, Ambrose Bonnaire-Sergeant","Optimized pattern matching and predicate dispatch for Clojure","Multi-license: EPL-1.0 OR PHP-3.0","",Maven,"",
"puppet",4.10.12,"Puppet Labs","Puppet, an automated configuration management tool","Apache-2.0","Multi-license: Ruby OR MIT OR GPL-2.0-or-later OR BSD-3-Clause OR Apache-2.0; MIT; SPL-1.0; GPL-2.0-only; Multi-license: Ruby OR GPL-2.0-or-later; BSD-3-Clause; CC-BY-4.0",RubyGem,"https://github.com/puppetlabs/puppet",
"math.numeric-tower",0.0.4,"","null","EPL-1.0","",Maven,"",
"LZ4 and xxHash",1.3,"","Java ports and bindings of the LZ4 compression algorithm and the xxHash hashing algorithm","Apache-2.0","",Maven,"https://github.com/jpountz/lz4-java",
"jackson-databind",2.10.0,"","General data-binding functionality for Jackson: works on core streaming API","Apache-2.0","",Maven,"http://github.com/FasterXML/jackson",
"Apache Tika core",1.5,"","This is the core Apache Tika™ toolkit library from which all other modules inherit functionality. It also
    includes the core facades for the Tika API.","","",Maven,"http://tika.apache.org/",
"Apache HttpClient Mime",4.5,"","
   Apache HttpComponents HttpClient - MIME coded entities
  ","Apache-2.0","",Maven,"http://hc.apache.org/httpcomponents-client",
"HikariCP",2.7.4,"","Ultimate JDBC Connection Pool","Apache-2.0","",Maven,"https://github.com/brettwooldridge/HikariCP",
"JSON.simple",1.1.1,"","A simple Java toolkit for JSON","Apache-2.0","",Maven,"http://code.google.com/p/json-simple/",
"Jackson-annotations",2.10.0,"","Core annotations used for value types, used by Jackson data binding package.
  ","","",Maven,"http://github.com/FasterXML/jackson",
"mchange-commons-java",0.2.15,"","mchange-commons-java","Multi-license: LGPL-2.1-only OR EPL-1.0","LGPL-2.1-only; Multi-license: LGPL-2.1-only OR GPL-2.0-only",Maven,"https://github.com/swaldman/mchange-commons-java",
"jolokia-core",1.6.2,"","jar file containing servlet and helper classes","Apache-2.0","Multi-license: LGPL-3.0-only OR Apache-2.0",Maven,"http://www.jolokia.org/jolokia-agent-parent/jolokia-core/",
"in-parallel",0.1.17,"samwoods1","Many other Ruby libraries that simplify parallel execution support one primary use case - crunching through a large queue of small, similar tasks as quickly and efficiently as possible.  This library primarily supports the use case of executing a few larger and unrelated tasks in parallel, automatically managing the stdout and passing return values back to the main process. This library was created to be used by Puppet's Beaker test framework to enable parallel execution of some of the framework's tasks, and allow users to execute code in parallel within their tests.","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/in-parallel",
"power_assert",1.2.0,"Kazuki Tsujimoto","Power Assert for Ruby. Power Assert shows each value of variables and method calls in the expression. It is useful for testing, providing which value wasn't correct when the condition is not satisfied.","Multi-license: Ruby&#39;s OR BSD-2-Clause","BSD-2-Clause; BSD-3-Clause; Ruby",RubyGem,"https://github.com/k-tsj/power_assert",
"oga",3.2,"Yorick Peterse","Oga is an XML/HTML parser written in Ruby.","MPL-2.0-no-copyleft-exception","MPL-2.0",RubyGem,"https://github.com/yorickpeterse/oga/",
"beaker-puppet",1.18.15,"Puppet","For use for the Beaker acceptance testing tool","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/beaker-puppet",
"puppetlabs_spec_helper",0.10.3,"Puppet, Inc., Community Contributors","Contains rake tasks and a standard spec_helper for running spec tests on puppet modules.","Apache-2.0","",RubyGem,"http://github.com/puppetlabs/puppetlabs_spec_helper",
"beaker-abs",0.5.0,"Josh Cooper, Rick Bradley","Adds a custom hypervisor that uses hosts provisioned by the Always Be Scheduling service.","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/beaker-abs",
"httparty",0.18.0,"John Nunemaker, Sandro Turriate","Makes http fun! Also, makes consuming restful web services dead easy.","MIT","BSD-3-Clause",RubyGem,"http://jnunemaker.github.com/httparty",
"mocha",1.11.2,"James Mead","Mocking and stubbing library with JMock/SchMock syntax, which allows mocking and stubbing of methods on real (non-mock) classes.","Multi-license: BSD-2-Clause OR MIT","MIT; Multi-license: BSD-3-Clause OR MIT",RubyGem,"http://gofreerange.com/mocha/docs",
"test-unit",3.3.5,"Kouhei Sutou, Haruka Yoshihara","Test::Unit (test-unit) is unit testing framework for Ruby, based on xUnit
principles. These were originally designed by Kent Beck, creator of extreme
programming software development methodology, for Smalltalk's SUnit. It allows
writing tests, checking results and automated testing in Ruby.
","Multi-license: PSFL OR Ruby","GPL-2.0-only; Multi-license: LGPL-2.1-only OR GPL-2.0-only; Multi-license: LGPL-2.1-or-later OR GPL-2.0-only; Multi-license: Ruby OR LGPL-2.1-only; LGPL-2.1-only; LGPL-2.1-or-later; Python-2.0",RubyGem,"http://test-unit.github.io/",
"pry-byebug",3.9.0,"David Rodríguez, Gopal Patel","Combine 'pry' with 'byebug'. Adds 'step', 'next', 'finish',
    'continue' and 'break' commands to control execution.","MIT","",RubyGem,"https://github.com/deivid-rodriguez/pry-byebug",
"beaker",4.21.0,"Puppet","Puppet's accceptance testing harness","Apache-2.0","",RubyGem,"https://github.com/puppetlabs/beaker",
"open_uri_redirections",0.2.1,"Jaime Iniesta, Gabriel Cebrian, Felix C. Stegerman","OpenURI patch to allow redirections between HTTP and HTTPS","MIT","",RubyGem,"https://github.com/jaimeiniesta/open_uri_redirections",
"json_pure",1.8.6,"Florian Frank","This is a JSON implementation in pure Ruby.","Ruby","BSD-3-Clause; Unicode; GPL-2.0-only; MIT",RubyGem,"http://flori.github.com/json",
"multi_xml",0.6.0,"Erik Michaels-Ober","Provides swappable XML backends utilizing LibXML, Nokogiri, Ox, or REXML.","MIT","",RubyGem,"https://github.com/sferik/multi_xml",
"ruby-ll",2.1.2,"Yorick Peterse","An LL(1) parser generator for Ruby.","MPL-2.0","MIT",RubyGem,"https://github.com/yorickpeterse/ruby-ll",
"docker-api",1.31.0,"Swipely, Inc.","A simple REST client for the Docker Remote API","MIT","",RubyGem,"https://github.com/swipely/docker-api",
"fast_gettext",1.8.0,"Michael Grosser","A simple, fast, memory-efficient and threadsafe implementation of GetText","Multi-license: MIT OR Ruby","MIT",RubyGem,"https://github.com/grosser/fast_gettext",
"byebug",11.1.2,"David Rodriguez, Kent Sibilev, Mark Moseley","Byebug is a Ruby 2 debugger. It's implemented using the
    Ruby 2 TracePoint C API for execution control and the Debug Inspector C API
    for call stack navigation.  The core component provides support that
    front-ends can build on. It provides breakpoint handling and bindings for
    stack frames among other things and it comes with an easy to use command
    line interface.","BSD-2-Clause","",RubyGem,"http://github.com/deivid-rodriguez/byebug",
"inifile",3.0.0,"Tim Pease","Although made popular by Windows, INI files can be used on any system thanks
to their flexibility. They allow a program to store configuration data, which
can then be easily parsed and changed. Two notable systems that use the INI
format are Samba and Trac.

More information about INI files can be found on the [Wikipedia Page](http://en.wikipedia.org/wiki/INI_file).

### Properties

The basic element contained in an INI file is the property. Every property has
a name and a value, delimited by an equals sign *=*. The name appears to the
left of the equals sign and the value to the right.

    name=value

### Sections

Section declarations start with *[* and end with *]* as in `[section1]` and
`[section2]` shown in the example below. The section declaration marks the
beginning of a section. All properties after the section declaration will be
associated with that section.

### Comments

All lines beginning with a semicolon *;* or a number sign *#* are considered
to be comments. Comment lines are ignored when parsing INI files.

### Example File Format

A typical INI file might look like this:

    [section1]
    ; some comment on section1
    var1 = foo
    var2 = doodle
    var3 = multiline values \
    are also possible

    [section2]
    # another comment
    var1 = baz
    var2 = shoodle","MIT","",RubyGem,"http://rubygems.org/gems/inifile",
